Quiz,Assignment,Midterm,Final
12,18,16,64
12,13,12,57
16,17,16,66
19,19,20,78
12,13,13,51
14,13,13,52
17,20,17,76
16,16,15,72
13,15,9,52
17,15,19,71
14,13,9,49
10,12,11,40
12,18,13,63
10,9,10,40
9,11,8,38
11,10,15,64
14,12,9,50
15,17,15,63
13,12,9,45
10,12,14,55
20,18,16,76
17,16,14,60
14,18,15,69
11,9,10,39
14,12,12,61
17,17,14,71
8,13,10,41
17,15,15,71
14,12,14,56
10,13,18,62
10,10,11,45
16,19,17,69
13,13,13,52
12,10,16,58
20,17,15,71
10,11,13,46
18,18,18,72
5,7,6,27
6,12,11,49
15,15,18,63
17,17,15,68
14,16,14,67
9,12,12,46
13,14,11,55
7,10,8,31
13,13,9,50
13,13,12,52
16,20,15,75
14,15,15,66
6,8,5,37
15,15,15,65
15,12,14,59
10,11,7,39
17,18,16,70
16,20,20,80
15,17,14,63
11,10,15,52
11,14,14,60
14,15,13,55
15,19,17,76
16,13,13,64
13,11,13,52
9,13,11,38
11,14,8,43
16,16,17,74
18,18,15,71
15,15,13,56
19,18,15,70
14,17,13,65
11,16,14,60
15,15,17,65
14,18,20,72
11,12,11,46
20,18,18,75
9,6,8,39
16,20,17,73
15,14,19,73
14,14,14,65
20,15,14,72
10,10,7,36
13,18,13,63
13,15,15,60
16,18,20,72
13,15,14,60
10,13,9,40
10,16,9,53
16,18,13,63
13,15,16,63
16,14,10,56
17,18,11,62
14,16,15,65
20,18,20,80
12,14,11,55
11,15,14,51
16,15,13,62
10,11,9,50
13,15,17,59
14,16,14,59
12,16,14,61
10,12,14,52
11,11,8,43
16,13,15,64
10,13,12,52
13,14,9,54
12,14,14,58
14,16,13,59
19,18,20,83
13,16,14,68
15,16,17,67
12,18,15,59
8,8,8,38
14,15,15,61
14,15,17,56
18,20,20,85
12,14,13,52
16,16,12,61
15,15,11,58
8,11,9,40
18,17,16,74
18,17,16,69
13,19,16,69
12,10,12,47
17,19,18,79
11,9,10,45
14,18,16,63
16,18,15,73
8,10,8,34
12,13,12,55
15,17,11,61
11,13,13,59
10,9,12,43
11,18,17,63
10,9,10,41
13,12,18,60
10,12,11,49
19,19,18,72
10,10,10,38
12,15,12,50
19,17,15,75
9,10,10,47
16,13,15,61
16,20,18,75
10,10,10,42
17,15,17,73
10,18,17,60
15,15,13,61
11,8,4,35
9,9,12,44
16,16,12,62
14,16,14,65
15,15,12,48
15,16,11,61
14,10,13,49
15,18,16,61
16,15,13,63
11,14,6,48
19,20,18,79
15,17,16,71
11,12,7,48
15,17,16,72
11,12,11,54
20,19,17,81
19,19,18,79
11,13,9,39
19,17,19,76
15,18,15,64
13,16,16,72
18,20,18,77
9,14,12,49
11,10,9,44
11,12,10,46
15,11,15,65
14,16,10,53
17,15,18,67
12,14,16,54
15,14,12,55
20,15,20,77
10,11,12,45
20,20,20,81
17,18,17,67
10,12,10,44
12,10,15,46
20,16,14,73
14,14,15,61
17,15,17,63
15,18,18,70
12,16,17,60
13,11,11,50
7,10,7,39
13,13,13,47
16,14,15,64
16,15,19,70
17,13,13,61
14,15,15,59
11,15,8,45
13,16,12,54
13,14,17,66
11,12,9,44
17,18,13,74
14,18,17,68
19,18,20,77
20,17,19,72
10,11,11,38
15,12,9,43
14,18,12,62
13,17,19,71
12,18,15,57
20,20,19,86
17,18,18,72
18,18,19,78
18,20,18,85
14,15,20,73
18,16,11,61
17,17,18,69
12,11,11,39
15,13,14,56
13,12,16,57
15,15,15,59
18,20,20,81
9,8,10,38
12,13,7,41
16,16,10,59
16,19,13,68
12,15,18,59
10,11,8,46
12,13,11,50
18,15,15,67
8,12,12,48
18,13,16,67
14,15,16,67
11,13,10,48
18,20,19,77
13,19,16,68
9,6,7,26
15,13,18,65
9,13,13,49
14,19,18,71
11,15,13,54
17,13,16,57
15,18,16,66
14,17,14,63
10,10,11,44
12,15,11,49
7,14,11,50
12,10,13,46
19,20,20,87
17,18,15,71
14,9,10,44
19,18,20,87
19,20,20,78
15,18,20,78
14,9,10,50
13,12,8,43
18,19,19,84
12,14,12,52
16,17,18,73
16,16,18,71
10,13,10,45
13,10,11,51
4,6,3,21
10,8,9,31
10,9,11,36
19,18,20,84
12,12,10,52
7,12,10,36
17,15,15,64
20,19,20,78
5,11,8,33
17,18,17,71
13,12,14,58
8,13,9,47
14,15,17,70
12,13,14,53
16,12,13,57
16,17,12,56
15,15,12,55
16,14,16,68
14,16,15,69
18,19,20,75
11,14,9,45
9,9,10,40
13,16,10,51
15,17,12,63
16,15,11,56
13,12,14,55
13,14,12,57
10,14,11,47
18,17,17,72
16,17,18,71
11,12,16,54
18,18,20,78
12,12,17,65
18,19,19,81
16,17,17,69
